Line,Value,Measurement,Log_value,Log_nat_value
DREB2A,1.098983883,1,0.136170229,0.040991323
DREB2A,0.603269689,2,-0.729124998,-0.219488495
DREB2A,0.275789218,3,-1.858362039,-0.559422717
DREB26,0.267170026,1,-1.904169935,-0.573212267
DREB26,0.225056987,2,-2.15163774,-0.6477075
DREB26,0.066692022,3,-3.906342,-1.175926115
MYC4,3.967498858,1,1.988229808,0.59851681
MYC4,2.05078125,2,1.036173613,0.311919338
MYC4,0.979105325,3,-0.030464032,-0.009170587
MYC2,1.080208592,1,0.111309929,0.033507627
MYC2,3.053722903,2,1.610569157,0.484829626
MYC2,1.456481048,3,0.542486929,0.163304838
MYC2,1.852188124,4,0.889230638,0.267685095
MYC3,13.75725665,1,3.782120904,1.138531839
MYC3,2.9035185,3,1.537802226,0.462924598
MYC3,2.035956662,4,1.025706852,0.308768529
MYC3,29.79255554,5,4.896879975,1.474107758
MYC3,7.200226779,6,2.848042346,0.857346175
MYC3,5.745254409,7,2.522370779,0.759309265
MYC3,5.511811024,8,2.462526425,0.741294319
MYB73,0.088743273,1,-3.494218427,-1.051864558
MYB73,0.034863252,2,-4.842149041,-1.457632105
MYB73,0.013500054,3,-6.210891012,-1.869664494
MYB73,0.010064486,4,-6.634582695,-1.9972084
DF1,0.03746933,1,-4.738146009,-1.426324073
DF1,0.145273912,2,-2.783152445,-0.837812368
DF1,0.087814302,3,-3.509400264,-1.056434746
DF1,0.24289937,4,-2.041569347,-0.614573612
DHS,0.140183188,1,-2.834614756,-0.853304068
DHS,0.114058732,2,-3.132151196,-0.942871461
DHS,0.079948936,3,-3.644777356,-1.097187312
DHS,0.045195653,4,-4.467672171,-1.344903334
DHS,0.226828807,5,-2.140324222,-0.644301791
DHS,0.050752834,6,-4.300367806,-1.294539702
DHS,0.101311299,7,-3.303133012,-0.994342116
