id,35S,BS,BS_35S,log2_BS_35S
AT5G50800,0.259332,3.29467,12.7044,3.667256337
AT4G31330,0.160135,1.47186,9.19139,3.200283055
AT4G18340,0.18481,1.65064,8.93154,3.15890895
AT5G49630,1.49004,11.4994,7.7175,2.948133578
AT2G37460,2.37143,16.4112,6.92036,2.790847089
AT4G39770,0.685687,4.25134,6.20012,2.632296138
AT1G18140,0.0096247,0.0592983,6.16105,2.623176244
AT5G10180,2.19356,12.2552,5.58689,2.482045415
AT3G61880,0.317019,1.7641,5.56464,2.476288357
AT5G48850,0.260631,1.44399,5.54038,2.46998493
AT5G64530,0.0923889,0.463901,5.02117,2.328023571
AT3G22890,14.5865,72.4416,4.96633,2.312180128
AT2G22190,0.393032,1.94357,4.94507,2.305990943
AT1G11210,0.0107265,0.0447955,4.17616,2.062176987
AT3G03780,6.59965,26.3598,3.99412,1.997877678
AT1G36370,1.02292,3.83976,3.75373,1.908324883
AT1G32450,0.769584,2.84334,3.69464,1.885433797
AT2G25450,7.00972,25.6179,3.65463,1.869725353
AT2G41480,0.0634984,0.229565,3.61528,1.854107387
AT3G50450,0.00872309,0.030085,3.4489,1.786136299
AT3G49570,0.149845,0.51524,3.4385,1.781779346
AT1G75300,0.0769958,0.264227,3.43171,1.778927642
AT5G07460,2.27186,7.72308,3.39946,1.765305594
AT4G03400,0.635896,2.1609,3.39819,1.764766519
AT4G13430,8.20864,27.6348,3.36655,1.751270892
AT1G04490,0.029184,0.097786,3.35067,1.744449606
AT1G31230,1.95965,6.37804,3.25468,1.702515705
AT4G22790,0.0780953,0.25249,3.2331,1.692918131
AT2G40130,0.303484,0.977876,3.22217,1.688032612
AT3G49680,3.38695,10.8205,3.19476,1.675707556
AT1G57590,0.107379,0.342441,3.18908,1.673140289
AT3G11410,1.2811,3.97869,3.10569,1.634913832
AT2G30840,0.0111274,0.0330878,2.97353,1.572176631
AT1G77520,0.0130338,0.0384927,2.95331,1.5623328
AT5G26340,0.568876,1.59745,2.80809,1.489589175
AT2G47550,0.00872309,0.0243746,2.79426,1.482466267
