id,35S,BS,BS_35S,log2_BS_35S
AT3G05858,0.0057697,0.0362909,6.28992,2.653041668
AT1G66830,0.0294842,0.180914,6.13597,2.617291429
AT2G22330,1.18407,6.80289,5.74535,2.522394783
AT4G39950,1.11441,5.86858,5.26611,2.396737657
AT2G30860,24.357,101,4.14666,2.05194976
AT4G31500,5.98613,23.9151,3.99509,1.998228004
AT3G27025,0.0447955,0.16463,3.67516,1.87780706
AT5G44720,2.37004,7.80887,3.29483,1.72020403
AT1G74100,2.37783,7.59925,3.19588,1.676213238
AT1G10070,0.0693978,0.219675,3.16544,1.66240605
AT5G44350,0.0156446,0.0425937,2.72258,1.444974442
AT3G23570,2.25788,5.98613,2.65122,1.406656391
AT2G38250,0.0218666,0.0541976,2.47856,1.309502183
AT1G24880,1.12419,2.75695,2.45238,1.294182544
AT1G12805,0.0204606,0.0454961,2.2236,1.152897287
AT1G62620,0.0214653,0.0445952,2.07755,1.054883198
AT1G19530,0.0867916,0.180165,2.07583,1.053688299
AT5G20810,0.010525,0.0212636,2.0203,1.014569539
AT1G52410,1.17653,2.32799,1.97869,0.984545604
AT4G22950,0.0111274,0.021063,1.89289,0.920590575
AT5G51580,0.0319867,0.0576982,1.80382,0.851055382
AT2G47780,0.0445952,0.0773456,1.73439,0.794428344
AT4G35180,0.0837929,0.134907,1.61,0.687060688
AT1G68350,0.0206612,0.0315864,1.52878,0.61238081
AT2G01008,0.050497,0.0735968,1.45745,0.54344639
AT1G52400,5.84911,8.49769,1.45282,0.538855968
AT4G05010,0.0772456,0.109777,1.42115,0.507058837
AT3G53232,0.0327876,0.0432945,1.32045,0.401029674
AT4G02670,0.0227697,0.0283831,1.24653,0.317917604
AT3G62500,0.0241739,0.0296847,1.22797,0.296275315
AT1G59218,0.507749,0.555343,1.09373,0.129256636
AT4G36515,0.0634984,0.068698,1.08188,0.113540487
AT4G36820,0.0194576,0.0208623,1.07219,0.100560585
AT5G35960,0.017249,0.018252,1.05815,0.081544154
AT3G44860,1.24065,1.26352,1.01844,0.026360988
AT1G58160,0.0163461,0.0160458,0.981625,-0.026756103
AT2G06255,0.0518976,0.0500469,0.964341,-0.052384708
AT4G22620,0.0222679,0.0199594,0.896331,-0.157896501
AT4G27654,0.0166475,0.0141386,0.849292,-0.235667434
AT5G55950,0.0513973,0.0434946,0.846243,-0.2408561
AT5G54570,0.0237726,0.0199594,0.839596,-0.252232802
AT1G51670,0.0190562,0.0148421,0.77886,-0.360564068
AT1G52000,0.683889,0.53262,0.77881,-0.360656686
AT5G64810,0.110976,0.0814939,0.734335,-0.445489731
AT1G49130,0.0842928,0.0607986,0.721279,-0.471370674
AT5G07010,0.144349,0.0969865,0.671889,-0.573705184
AT1G69588,0.0296847,0.0192568,0.648712,-0.624349969
AT2G38240,0.128063,0.079095,0.617627,-0.695192272
AT2G43660,0.0212639,0.0130338,0.612953,-0.70615164
AT1G52905,0.222572,0.136056,0.61129,-0.710071128
AT3G25770,1.83531,1.08909,0.593409,-0.752901287
AT5G01540,0.30668,0.178117,0.58079,-0.783911482
AT3G25570,0.128562,0.0711976,0.553797,-0.852570856
AT3G25480,0.887288,0.475387,0.535775,-0.90030083
AT4G26288,0.0820436,0.0437948,0.5338,-0.905628789
AT1G19200,0.0425941,0.0199594,0.468594,-1.093589613
AT5G62040,0.0250768,0.0112275,0.447726,-1.159311995
AT2G40200,0.0816938,0.0346892,0.424625,-1.235738782
AT5G57123,0.0309855,0.0126317,0.407664,-1.294547534
AT1G29640,0.0252776,0.0100746,0.398556,-1.327145647
AT1G10155,0.0803446,0.0309854,0.385657,-1.374609798
AT3G03830,0.0382926,0.0116283,0.303671,-1.719418954
AT3G20865,0.0275815,0.00581964,0.210998,-2.244698771
AT1G62420,0.0457965,0.00762022,0.166393,-2.587333353
AT3G56970,0.655473,0.0390931,0.0596411,-4.067549323
