id,35S,BS,BS_35S,log2_BS_35S
AT4G04830,0.788111,6.13595,7.78564,2.960815637
AT4G25480,0.0166475,0.109677,6.58821,2.719886542
AT5G23020,0.507949,3.25751,6.41307,2.681015155
AT5G23010,11.0953,66.4311,5.98731,2.581907969
AT2G43100,5.3881,27.2219,5.05222,2.336917463
AT3G19270,0.0778954,0.372556,4.78278,2.257849431
AT5G28030,0.289899,1.36699,4.71541,2.237383217
AT4G39940,4.5299,21.3167,4.70579,2.23443694
AT4G04810,0.0883906,0.408514,4.62169,2.208420494
AT4G14680,1.32509,6.10558,4.60767,2.204037395
AT3G02020,4.65493,21.1774,4.54946,2.185695314
AT4G14040,8.13005,36.5103,4.49079,2.16696926
AT1G78370,22.2893,99.6102,4.46897,2.15994236
AT3G19710,11.8339,52.8028,4.46199,2.15768728
AT4G04610,4.58593,19.964,4.35332,2.122116072
AT2G14750,5.7729,24.8158,4.29867,2.103890362
AT4G13770,11.4994,49.0563,4.266,2.092883966
AT2G20610,5.49007,23.2351,4.23222,2.081414624
AT5G14200,9.83161,41.5839,4.22961,2.080524643
AT1G16410,9.64496,40.784,4.22853,2.080156214
AT3G54600,4.606,19.4516,4.2231,2.07830241
AT1G16400,0.310376,1.25443,4.04164,2.014940823
AT2G32487,0.039393,0.152742,3.87738,1.955082132
AT4G30530,8.36145,32.2838,3.86103,1.948985764
AT1G62560,2.25368,8.477,3.7614,1.911269736
AT1G21440,3.07405,10.763,3.50124,1.807865958
AT3G58990,3.83262,13.397,3.49553,1.805511217
AT4G12030,1.7649,5.64936,3.20096,1.678504649
AT1G74090,2.91924,9.19276,3.14903,1.654907502
AT3G22740,1.09333,3.40672,3.11591,1.639653563
AT2G31790,2.98606,9.22981,3.09097,1.628059652
AT1G18590,2.04295,6.29644,3.08204,1.623885586
AT3G49580,0.348933,1.07461,3.07969,1.622785137
AT2G46650,3.97589,12.1704,3.06104,1.614021897
AT1G24100,2.37183,7.16601,3.0213,1.595169444
AT1G65860,2.17588,6.51256,2.99307,1.58162602
AT5G01500,0.660367,1.65553,2.50699,1.325956241
AT3G03190,0.913855,2.26866,2.48252,1.311805341
AT5G07700,0.108778,0.244949,2.25182,1.17109151
AT3G04070,0.0529975,0.113375,2.13925,1.097105091
AT2G38860,0.84594,1.79047,2.11654,1.081707754
AT1G52030,0.296891,0.620414,2.0897,1.063295842
AT2G44800,0.0219675,0.0457963,2.08473,1.059860548
AT2G39330,2.077,4.32575,2.08269,1.058448116
AT5G07690,1.50142,3.12568,2.08181,1.057838405
AT3G19500,0.029885,0.0586983,1.96414,0.973897766
AT5G46500,0.0460964,0.0764959,1.65947,0.730722549
AT3G08860,0.154141,0.14365,0.931939,-0.101692568
AT3G29639,0.0237726,0.0179514,0.755131,-0.40520115
AT1G02470,0.030085,0.0194576,0.646754,-0.628711023
AT1G52040,0.647882,0.397777,0.613965,-0.70377168
AT3G10320,0.0380922,0.022268,0.58458,-0.774527623
AT5G46295,0.0237726,0.0130338,0.548269,-0.867044191
AT2G41240,0.370708,0.0271808,0.0733213,-3.769623824
