id,Moitf_name,Cluster,myc_myb_down_count,myc_myb_down_freq,myc_myb_down_freq_norm,myc_down_myb_not_count,myc_down_myb_not_freq,myc_down_myb_not_freq_norm,myb_down_myc_not_count,myb_down_myc_not_freq,myb_down_myc_not_freq_norm,log2_myc_myb_down_freq_norm,log2_myc_down_myb_not_freq_norm,log2_myb_down_myc_not_freq_norm
MA1036.1,MYB111,18,52,0.002694161,3.0711757,38,0.000849466,0.968338041,187,0.000803006,0.915376731,1.61879105,-0.046417323,-0.127562476
MA1038.1,MYB3,18,44,0.002279675,2.529141493,46,0.001028301,1.140828492,183,0.000785829,0.871823322,1.338647751,0.190081918,-0.197892297
MA0985.1,DRE1C,13,25,0.00129527,2.514180032,32,0.00071534,1.388508107,248,0.001064949,2.067116663,1.33008796,0.473535601,1.047619813
MA0930.1,ABF3,8,51,0.00264235,2.43191993,75,0.001676577,1.543058661,247,0.001060655,0.976186937,1.282095729,0.625792909,-0.034770649
MA1040.1,MYB46,18,66,0.003419512,2.350568022,61,0.001363616,0.937347878,315,0.001352657,0.92981465,1.233009431,-0.09334352,-0.104984938
MA1039.1,MYB4,18,66,0.003419512,2.331703625,64,0.001430679,0.975554336,362,0.001554482,1.0599733,1.221384424,-0.035705865,0.084027925
MA1207.1,GT-A3,6,70,0.003626755,2.26106729,115,0.002570752,1.602711544,518,0.002224369,1.386762694,1.177003928,0.680514793,0.471720932
MA0569.1,MYC4,8,69,0.003574944,2.199199961,111,0.002481334,1.526443327,514,0.002207193,1.357799643,1.136978786,0.610174027,0.441270611
MA0566.1,MYC2,8,57,0.002953215,2.197423504,85,0.001900121,1.413838855,531,0.002280193,1.696642625,1.135812944,0.499617696,0.762682713
MA0958.1,BHLH13,8,67,0.003471323,2.102412934,112,0.002503688,1.516363482,492,0.002112721,1.279573575,1.072046056,0.600615618,0.355663104
MA0568.1,MYC3,8,69,0.003574944,2.020416914,105,0.002347208,1.326548953,531,0.002280193,1.288674897,1.014653025,0.407677916,0.365888351
MA1074.1,UNE10,8,65,0.003367701,2.006836295,101,0.00225779,1.345432894,511,0.00219431,1.30760458,1.004922936,0.428070436,0.386926335
