id,mycT,mybDKO,mycT_mybDKO_down,mycT_down,mybDKO_down
AT1G16400,-3.606638208,-12.59,Y,N,N
AT1G16410,-6.23476336,-10.39,Y,N,N
AT3G19710,-4.628080947,-10.2,Y,N,N
AT5G23010,-3.968904367,-9.8,Y,N,N
AT5G14200,-2.444449568,-9.54,Y,N,N
AT3G02020,-5.048052998,-9.46,Y,N,N
AT2G43100,-5.907218444,-9.43,Y,N,N
AT3G58990,-8.652939295,-9.34,Y,N,N
AT4G12030,-3.581264229,-9.24,Y,N,N
AT3G03190,-2.637528813,-8.17,Y,N,N
AT3G49580,-1.020109131,-7.37,Y,N,N
AT5G23020,-6.729054203,-7.35,Y,N,N
AT4G03060,-3.300081393,-7.31,Y,N,N
AT1G65860,-3.177314841,-7.03,Y,N,N
AT5G37210,-1.06342538,-6.33,Y,N,N
AT4G13770,-3.538307644,-5.95,Y,N,N
AT5G07700,-3.726981506,-5.47,Y,N,N
AT3G08860,-1.117422862,-5.38,Y,N,N
AT1G62560,-3.098862504,-5.18,Y,N,N
AT4G04810,-1.415246692,-5.01,Y,N,N
AT1G68568,-2.348319594,-4.62,Y,N,N
AT5G07690,-1.646807493,-4.3,Y,N,N
AT5G46295,-1.339630097,-4.19,Y,N,N
AT4G04610,-1.244183238,-3.95,Y,N,N
AT5G59590,-0.793654012,-3.6,Y,N,N
AT4G04830,-0.856223911,-3.16,Y,N,N
AT1G78370,-2.164108208,-3.06,Y,N,N
AT4G14040,-0.871912869,-2.94,Y,N,N
AT3G22740,-1.844635938,-2.93,Y,N,N
AT1G43040,-1.192645078,-2.77,Y,N,N
AT2G46650,-4.050181825,-2.67,Y,N,N
AT1G74090,-2.150805047,-2.41,Y,N,N
AT1G21440,-1.024747321,-2.41,Y,N,N
AT3G54600,-1.882625214,-2.37,Y,N,N
AT1G02470,-1.158827293,-2.37,Y,N,N
AT2G41240,-0.808312701,-2.2,Y,N,N
AT4G39940,-3.189029279,-2.17,Y,N,N
AT3G29639,-1.417120814,-2.16,Y,N,N
AT1G18590,-3.147726206,-2.14,Y,N,N
AT2G31790,-0.756155965,-1.87,Y,N,N
AT4G25480,-0.837943242,-1.86,Y,N,N
AT2G32487,-1.960088878,-1.83,Y,N,N
AT1G75700,-0.813731485,-1.81,Y,N,N
AT2G14750,-1.92321273,-1.73,Y,N,N
AT2G20610,-1.289290532,-1.73,Y,N,N
AT5G43570,-1.584962501,-1.72,Y,N,N
AT3G10320,-0.781673195,-1.65,Y,N,N
AT3G04070,-0.995298111,-1.43,Y,N,N
AT5G46500,-0.816288047,-1.41,Y,N,N
AT1G70581,-1,-1.37,Y,N,N
AT3G46760,-0.858208138,-1.35,Y,N,N
AT2G30362,-1.060787718,-1.31,Y,N,N
AT1G18382,-1.01403606,-1.23,Y,N,N
AT2G44460,-0.935204877,-1.21,Y,N,N
AT4G14680,-0.88760452,-1.16,Y,N,N
AT4G04293,-1.964666927,-1.14,Y,N,N
AT3G19270,-0.921144579,-1.14,Y,N,N
AT1G52030,-5.459431619,-1.13,Y,N,N
AT2G44800,-2.463796811,-1.08,Y,N,N
AT1G24100,-1.461863844,-1.08,Y,N,N
AT5G16235,-1.408805546,-1.07,Y,N,N
AT4G31354,-3.130288029,-1.06,Y,N,N
AT1G49370,-2.149226009,-1.05,Y,N,N
AT5G48410,-0.750972452,-0.99,Y,N,N
AT2G39330,-5.266786541,-0.96,Y,N,N
AT2G27180,-0.939208316,-0.88,Y,N,N
AT5G28030,-0.816202824,-0.85,Y,N,N
AT5G41380,-1.11983977,-0.84,Y,N,N
AT5G11425,-0.826281425,-0.82,Y,N,N
AT1G52040,-2.122353756,-0.81,Y,N,N
AT5G01500,-0.803655175,-0.81,Y,N,N
AT3G19500,-0.895942185,-0.8,Y,N,N
AT3G13405,-0.90303827,-0.79,Y,N,N
AT2G38860,-0.904772527,-0.78,Y,N,N
AT4G30530,-1.017845239,-0.77,Y,N,N
AT5G07880,-0.950124093,-0.77,Y,N,N
AT5G61420,0.229248156,-8.18,N,N,Y
AT1G77530,0.01346226,-7.63,N,N,Y
AT4G12545,1.560054213,-7.59,N,N,Y
AT2G34020,-0.249704075,-6.68,N,N,Y
AT2G34210,-0.421329245,-6.52,N,N,Y
AT2G26410,-0.540568381,-6.35,N,N,Y
AT1G18860,-0.255705535,-5.91,N,N,Y
AT2G29370,-0.157159528,-5.88,N,N,Y
AT3G23800,0.019020306,-5.85,N,N,Y
AT2G02680,-0.337614732,-5.83,N,N,Y
AT1G53990,0.064130337,-5.8,N,N,Y
AT3G21500,0.361555169,-5.59,N,N,Y
AT2G47200,0.028025483,-5.56,N,N,Y
AT2G36295,0.339039363,-5.53,N,N,Y
AT4G37160,-0.165117616,-5.47,N,N,Y
AT3G49570,-0.574463936,-5.26,N,N,Y
AT4G31470,0.291894273,-5.19,N,N,Y
AT1G73300,-0.317770469,-5.18,N,N,Y
AT2G01880,0.017685726,-5.11,N,N,Y
AT4G12500,-0.173904008,-4.98,N,N,Y
AT5G48850,-0.617379509,-4.91,N,N,Y
AT4G12490,-0.051204778,-4.83,N,N,Y
AT5G36270,0.242200902,-4.63,N,N,Y
AT3G54580,0.188044048,-4.62,N,N,Y
AT3G51360,-0.12826585,-4.61,N,N,Y
AT3G47790,0.100095835,-4.61,N,N,Y
