id,distance
AT5G66250,337
AT1G09910,1361.5
AT4G00380,1345
AT1G63000,1293
AT5G42020,1267.5
AT4G17890,1258
AT1G32760,1206
AT1G71440,1201
AT1G49600,1191.5
AT5G24260,1163
AT5G10745,1139
AT2G47860,1136.5
AT5G22608,1097.5
AT3G24515,1053
AT1G56200,1031
AT2G42620,1022
AT1G55480,988
AT3G10450,981.5
AT5G46590,967
AT4G38910,953.5
AT1G21900,943
AT2G40480,931
AT3G56650,931
AT1G22450,929.5
AT5G64130,925
AT5G24740,920
AT2G29065,910
AT1G19450,904.5
AT3G51500,893
AT4G25225,892.5
AT1G65650,875
AT1G62750,866
AT1G42540,862.5
AT4G37090,860.5
AT4G17150,860
AT4G39170,857
AT4G09020,851
AT5G55990,846.5
AT1G11410,840.5
AT5G14740,833.5
AT1G24280,829.5
AT5G62230,819.5
AT2G42890,800
AT5G53090,797
AT3G49960,791.5
AT1G18750,788.5
AT4G21534,788.5
AT2G29120,779
AT1G18720,769.5
AT5G44180,768
AT4G08180,762.5
AT2G47710,759
AT5G44650,757
AT3G55200,751.5
AT5G42240,751.5
AT1G70550,750
AT1G21370,748.5
AT1G67050,746
AT1G30230,739.5
AT2G45330,737.5
AT2G47170,735
AT3G04240,733
AT1G76060,732.5
AT2G40420,729.5
AT3G16175,728
AT4G08455,720.5
AT5G17270,716.5
AT4G17030,714.5
AT3G12700,710.5
AT1G63720,709
AT1G32080,708.5
AT4G23800,708
AT4G09670,705
AT4G25470,704.5
AT1G53670,701.5
AT2G26970,700
AT5G37020,699
AT1G73430,695
AT1G52300,694.5
AT5G02890,694.5
AT1G13380,689
AT1G65900,688.5
AT5G18760,678.5
AT1G51850,678
AT4G17840,676
AT5G59750,666
AT1G72240,665
AT5G22630,661.5
AT5G66190,658.5
AT2G30320,652
AT3G61780,651.5
AT2G14560,650.5
AT1G14300,647.5
AT1G30135,646
AT3G54280,646
AT3G63500,643
AT5G52840,641.5
AT2G34840,627.5
AT2G33340,619.5
AT2G27330,617
AT5G08480,615.5
AT1G67870,612.5
AT1G61030,612
AT1G44575,611.5
AT5G01030,611.5
AT1G75280,606.5
AT3G47450,605
AT4G30580,601.5
AT3G55390,600
AT2G05990,597.5
AT5G62470,595
AT1G63020,592.5
AT1G10630,589
AT2G40070,589
AT3G50890,589
AT5G22000,587
AT1G09500,586
AT5G63260,582
AT1G71697,575.5
AT4G22740,575.5
AT1G06390,573.5
AT2G32710,569.5
AT2G45695,569.5
AT2G23170,562
AT4G01840,555
AT3G55750,553
AT2G01060,552.5
AT2G37720,552
AT3G11010,549.5
AT4G10110,549.5
AT1G01500,545.5
AT3G25770,542.5
AT1G22880,541
AT4G26190,540.5
AT3G23710,539
AT1G51510,534
AT3G13700,530.5
AT1G14040,529.5
AT4G33130,529.5
AT3G03250,523
AT1G75680,521
AT3G19650,520
AT5G42960,520
AT3G18080,517.5
AT1G35910,511
AT1G21770,510.5
AT3G16370,506
AT3G63470,504.5
AT4G21210,503
AT5G43080,494
AT1G31130,491.5
AT2G38880,491.5
AT1G63680,487.5
AT5G03450,487
AT3G13720,485
AT1G54350,484.5
AT1G34200,480.5
AT2G38960,477
AT4G26630,475
AT5G03610,474.5
AT1G04860,472
AT4G14790,472
AT5G03260,468
AT1G29250,467.5
AT2G37380,465
AT1G18330,464.5
AT1G23800,462.5
AT3G50080,461
AT5G37350,460
AT3G05180,459
AT5G26330,458.5
AT2G29320,455
AT2G17700,454
AT2G36870,453.5
AT1G06515,447
AT3G62810,446.5
AT1G74370,445.5
AT3G44370,445.5
AT5G47730,445
AT1G18650,444
AT1G10600,443.5
AT5G61130,441
AT5G48400,440
AT5G67600,437.5
AT5G51750,434
AT5G67570,434
AT2G32680,433.5
AT5G50440,433
AT4G13615,431
AT2G18000,426.5
AT1G15020,424.5
AT5G42830,420.5
AT1G24020,419.5
AT5G41050,417.5
AT2G42200,416
AT3G16520,412.5
AT4G04950,412
AT5G23680,411.5
AT2G29170,411
AT3G48770,411
AT2G42300,408
AT2G39950,403
AT1G76760,402
AT4G17790,402
AT2G04100,401.5
AT5G43460,400.5
AT1G79970,399.5
AT3G05160,399.5
AT5G59320,397.5
AT5G04320,396.5
AT2G03280,396
AT1G60960,394.5
AT3G06660,394.5
AT5G64510,392
AT2G47485,390
AT1G35430,385.5
AT3G20830,384.5
AT4G28706,383
AT4G30950,382
AT1G24360,378
AT2G38780,377.5
AT4G22380,374.5
AT1G26230,373
AT3G19490,373
AT1G67860,372.5
AT1G73010,372
AT2G27150,368.5
AT2G44490,367
AT4G34100,367
AT2G46140,366.5
AT5G59690,366
AT3G48560,365
AT1G02800,363.5
AT1G55930,362.5
AT2G35420,361
AT1G50520,350.5
AT3G01380,346
AT2G19180,341.5
AT3G14200,338
AT3G22530,338
AT5G42330,338
AT5G57760,337
AT1G05830,336.5
AT3G51930,336
AT5G66440,335
AT2G40316,334.5
AT5G60750,334
AT1G19910,333.5
AT2G44710,333.5
AT5G19950,333.5
AT2G41640,332.5
AT3G26210,331
AT2G38820,330.5
AT3G45020,329
AT3G63290,327
AT1G79270,326.5
AT2G30260,326
AT2G02570,325.5
AT1G69260,322.5
