sequence_name	Centre	Cluster
AT1G02470	1255.5	18
AT1G02470	1253.5	18
AT1G02470	618	18
AT1G02470	311.5	18
AT1G02470	310.5	18
AT1G02470	310.5	18
AT1G02470	310.5	18
AT1G02470	310	18
AT1G02470	221	8
AT1G02470	220	8
AT1G02470	135	18
AT1G02470	109	18
AT1G16400	1298.5	18
AT1G16400	1284.5	18
AT1G16400	1283.5	18
AT1G16400	1283.5	18
AT1G16400	1283.5	18
AT1G16400	1283	18
AT1G16400	1283	18
AT1G16400	988	18
AT1G16400	987.5	18
AT1G16400	987	18
AT1G16400	986	18
AT1G16400	985.5	18
AT1G16400	877	18
AT1G16400	692	18
AT1G16400	651.5	18
AT1G16400	649	18
AT1G16400	624.5	18
AT1G16400	624	18
AT1G16400	623	18
AT1G16400	576	8
AT1G16400	576	8
AT1G16400	575.5	8
AT1G16400	524.5	8
AT1G16400	523.5	8
AT1G16400	523.5	8
AT1G16400	255.5	18
AT1G16410	1485	18
AT1G16410	1485	18
AT1G16410	1483.5	18
AT1G16410	1483.5	18
AT1G16410	1449.5	8
AT1G16410	1449.5	8
AT1G16410	1449.5	8
AT1G16410	1449.5	8
AT1G16410	1449.5	8
AT1G16410	1449.5	8
AT1G16410	1448.5	8
AT1G16410	1448.5	8
AT1G16410	1416.5	18
AT1G16410	1416.5	18
AT1G16410	1415.5	18
AT1G16410	1415.5	18
AT1G16410	1415.5	18
AT1G16410	1415.5	18
AT1G16410	1415.5	18
AT1G16410	1415.5	18
AT1G16410	1415	18
AT1G16410	1415	18
AT1G16410	322	18
AT1G16410	322	18
AT1G16410	321.5	18
AT1G16410	321.5	18
AT1G16410	321	18
AT1G16410	321	18
AT1G16410	320.5	18
AT1G16410	320.5	18
AT1G16410	320.5	18
AT1G16410	320.5	18
AT1G16410	320.5	18
AT1G16410	320.5	18
AT1G16410	320	18
AT1G16410	320	18
AT1G16410	320	18
AT1G16410	320	18
AT1G16410	319.5	18
AT1G16410	319.5	18
AT1G16410	319.5	18
AT1G16410	319.5	18
AT1G16410	200	18
AT1G16410	200	18
AT1G18590	1437	18
AT1G18590	1437	18
AT1G18590	1436	18
AT1G18590	1435.5	18
AT1G18590	1435.5	18
AT1G18590	1435.5	18
AT1G18590	1435	18
AT1G18590	1435	18
AT1G18590	1434.5	18
AT1G18590	1424.5	18
AT1G18590	1367	18
AT1G18590	1366.5	18
AT1G18590	855	18
AT1G18590	855	18
AT1G18590	854.5	18
AT1G18590	854.5	18
AT1G18590	854.5	18
AT1G18590	853.5	18
AT1G18590	563.5	8
AT1G18590	563.5	8
AT1G18590	563.5	8
AT1G18590	563.5	8
AT1G18590	562.5	8
AT1G18590	562.5	8
AT1G18590	43.5	18
AT1G18590	36	8
AT1G21440	1454.5	8
AT1G21440	1454.5	8
AT1G21440	1454.5	8
AT1G21440	1454.5	8
AT1G21440	1454	8
AT1G21440	1454	8
AT1G21440	1454	8
AT1G21440	1454	8
AT1G21440	1454	8
AT1G21440	1453.5	8
AT1G21440	1453.5	8
AT1G21440	1453.5	8
AT1G21440	1453.5	8
AT1G21440	1453.5	8
AT1G21440	1453.5	8
AT1G21440	1453.5	8
AT1G21440	1453.5	8
AT1G21440	1453.5	8
AT1G21440	1453.5	8
AT1G21440	1453.5	8
AT1G21440	1453.5	8
AT1G21440	1453.5	8
AT1G21440	1453.5	8
AT1G21440	1453.5	8
AT1G21440	1453.5	8
AT1G21440	1453.5	8
AT1G21440	1453.5	8
AT1G21440	1453.5	8
AT1G21440	1453.5	8
AT1G21440	1453.5	8
AT1G21440	1453.5	8
